player,points,rebounds,assists,class
Bam Adebayo,14.6,10.5,4.1,2
LaMarcus Aldridge,18.9,7.0,2.4,1
Nickeil Alexander-Walker,6.5,2.4,2.1,4
Grayson Allen,7.6,3.0,1.6,4
Jarrett Allen,12.3,10.6,1.2,2
Kadeem Allen,9.0,0.0,2.0,4
Al-Farouq Amin,4.3,4.8,1.2,4
Kyle Anderson,6.7,4.4,2.6,4
Ryan Anderson,2.5,3.5,1.0,4
Giannis Antetokounmpo,30.8,13.1,5.4,0
Kostas Antetokounmpo,0.0,0.5,0.0,4
Thanasis Antetokounmpo,3.5,0.8,1.0,4
OG Anunoby,11.2,5.6,1.8,1
Ryan Arcidiacono,4.2,1.7,1.7,4
Trevor Ariza,5.2,3.7,0.8,4
D.J. Augustin,9.6,2.5,4.7,4
Deandre Ayton,18.0,11.0,0.0,2
Dwayne Bacon,6.7,2.6,1.3,4
Marvin Bagley III,14.0,10.0,0.0,1
Lonzo Ball,10.9,4.3,5.7,3
Mo Bamba,5.4,5.4,0.5,4
J.J. Barea,8.7,1.7,2.8,4
Harrison Barnes,16.3,5.2,2.3,1
RJ Barrett,14.3,5.3,3.3,1
Will Barton,14.2,6.5,3.3,1
Keita Bates-Diop,8.0,2.7,0.4,4
Nicolas Batum,3.5,4.4,3.2,4
Aron Baynes,14.7,5.7,2.9,1
Kent Bazemore,7.8,4.3,1.7,4
Darius Bazley,4.1,3.5,0.6,4
Bradley Beal,28.0,4.5,7.0,0
Malik Beasley,6.4,1.5,1.1,4
Marco Belinelli,5.4,1.7,1.5,4
Jordan Bell,3.9,3.5,0.7,4
DeAndre' Bembry,7.3,4.6,2.7,4
Dragan Bender,5.0,0.7,1.0,4
Davis Bertans,14.9,4.5,1.6,1
Patrick Beverley,7.5,6.1,3.2,4
Khem Birch,4.4,5.8,1.1,4
Goga Bitadze,4.1,3.1,0.8,4
Bismack Biyombo,7.5,4.3,0.8,4
Nemanja Bjelica,11.5,6.9,2.6,1
Eric Bledsoe,15.0,4.9,5.6,3
Bogdan Bogdanovic,14.3,2.8,4.4,1
Bojan Bogdanovic,20.9,4.4,2.1,0
Jonah Bolden,1.0,0.0,0.0,4
Jordan Bone,1.3,0.0,0.0,4
Isaac Bonga,3.8,2.5,1.4,4
Devin Booker,25.5,3.9,6.2,0
Chris Boucher,5.4,4.2,0.5,4
Brian Bowen II,0.7,0.3,0.0,4
